"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13853","User enters women's fashion and search the Kurti","chromium","Sun Apr 13 16:30:52 IST 2025","passed","Sun Apr 13 16:31:06 IST 2025","Verify that the user is able to search for a Kurti product","tests\feature\TC2_Womens_Kurti.feature.spec.js","",""
"","16955","User enters men's fashion and search the formal shoes","chromium","Sun Apr 13 16:30:33 IST 2025","passed","Sun Apr 13 16:30:50 IST 2025","Verify that the user is able to search for a product","tests\feature\TC1_Mens_FormalShoes.feature.spec.js","",""
"","13096","User enters men's fashion and sort the sunglasses into price as high to low","chromium","Sun Apr 13 16:31:53 IST 2025","passed","Sun Apr 13 16:32:06 IST 2025","Verify that the user is able to sort the product","tests\feature\TC4_Causalshoes_sort.feature.spec.js","",""
"","42636","User able to silde the price and verify the product shown within limit","chromium","Sun Apr 13 16:31:08 IST 2025","passed","Sun Apr 13 16:31:50 IST 2025","Verify that the user is able to use the price slidebar and check the price","tests\feature\TC3_Check_price_limit_slide_bar.feature.spec.js","",""
"","22190","User add the product into add to cart page","chromium","Sun Apr 13 16:32:07 IST 2025","passed","Sun Apr 13 16:32:30 IST 2025","Verify that the user is able to add the product into cart","tests\feature\TC5_End_to_End.feature.spec.js","",""
